kingdom,family,scientificName
"",Verrucariaceae,Verrucaria nigrescens f. tectorum
Animalia,Andrenidae,Andrena trimmerana f. spinigera
Animalia,Brushfooted Butterflies Nymphalidae,Apatura ilia f. clytie
Animalia,Brushfooted Butterflies Nymphalidae,Argynnis paphia f. valesina
Animalia,Brushfooted Butterflies Nymphalidae,Bleek hooibeestje f. microphtalma
Animalia,Brushfooted Butterflies Nymphalidae,Coenonympha glycerion bertolis
Animalia,Brushfooted Butterflies Nymphalidae,Coenonympha pamphilus f. lyllus
Animalia,Brushfooted Butterflies Nymphalidae,Fabriciana niobe f. eris
Animalia,Carps Cyprinidae,Leuciscus idus forma melanotus
Animalia,Dolphins Delphinidae,Orcinus orca ecotype-A
Animalia,Dolphins Delphinidae,Orcinus orca ecotype-B-large
Animalia,Dolphins Delphinidae,Orcinus orca ecotype-B-small
Animalia,Dolphins Delphinidae,Orcinus orca ecotype-C
Animalia,Dolphins Delphinidae,Orcinus orca ecotype-biggs
Animalia,Dolphins Delphinidae,Orcinus orca ecotype-offshore
Animalia,Dolphins Delphinidae,Orcinus orca ecotype-resident
Animalia,Ducks Geese and Swans Anatidae,Anas platyrhynchos forma domestica
Animalia,Ducks Geese and Swans Anatidae,Anser anser forma domestica
Animalia,Finches Fringillidae,Serinus canaria forma domestica
Animalia,Gossamerwinged Butterflies Lycaenidae,Polyommatus icarus f. icarinus
Animalia,Geometridae,Idaea aversata f. remutata
Animalia,Helicidae,Cepaea nemoralis forma B(12)345
Animalia,Helicidae,Cepaea nemoralis forma B(123)45
Animalia,Helicidae,Cepaea nemoralis forma B(12345)
Animalia,Helicidae,Cepaea nemoralis forma B00(345)
Animalia,Helicidae,Cepaea nemoralis forma B00000
Animalia,Helicidae,Cepaea nemoralis forma B00045
Animalia,Helicidae,Cepaea nemoralis forma B000??
Animalia,Helicidae,Cepaea nemoralis forma B003(45)
Animalia,Helicidae,Cepaea nemoralis forma B00300
Animalia,Helicidae,Cepaea nemoralis forma B00345
Animalia,Helicidae,Cepaea nemoralis forma B003??
Animalia,Helicidae,Cepaea nemoralis forma B123(45)
Animalia,Helicidae,Cepaea nemoralis forma B12345
Animalia,Helicidae,Cepaea nemoralis forma B123??
Animalia,Helicidae,Cepaea nemoralis forma Bxxxxx
Animalia,Helicidae,Cepaea nemoralis forma P(12)3(45)
Animalia,Helicidae,Cepaea nemoralis forma P(12)345
Animalia,Helicidae,Cepaea nemoralis forma P(123)(45)
Animalia,Helicidae,Cepaea nemoralis forma P(123)45
Animalia,Helicidae,Cepaea nemoralis forma P(12345)
Animalia,Helicidae,Cepaea nemoralis forma P00(345)
Animalia,Helicidae,Cepaea nemoralis forma P00000
Animalia,Helicidae,Cepaea nemoralis forma P000??
Animalia,Helicidae,Cepaea nemoralis forma P003(45)
Animalia,Helicidae,Cepaea nemoralis forma P00300
Animalia,Helicidae,Cepaea nemoralis forma P00345
Animalia,Helicidae,Cepaea nemoralis forma P003??
Animalia,Helicidae,Cepaea nemoralis forma P02345
Animalia,Helicidae,Cepaea nemoralis forma P1(23)45
Animalia,Helicidae,Cepaea nemoralis forma P1(2345)
Animalia,Helicidae,Cepaea nemoralis forma P12(345)
Animalia,Helicidae,Cepaea nemoralis forma P12045
Animalia,Helicidae,Cepaea nemoralis forma P123(45)
Animalia,Helicidae,Cepaea nemoralis forma P12345
Animalia,Helicidae,Cepaea nemoralis forma P123??
Animalia,Helicidae,Cepaea nemoralis forma Pxxxxx
Animalia,Helicidae,Cepaea nemoralis forma Y(12)3(45)
Animalia,Helicidae,Cepaea nemoralis forma Y(12)345
Animalia,Helicidae,Cepaea nemoralis forma Y(123)(45)
Animalia,Helicidae,Cepaea nemoralis forma Y(123)45
Animalia,Helicidae,Cepaea nemoralis forma Y(12345)
Animalia,Helicidae,Cepaea nemoralis forma Y00(345)
Animalia,Helicidae,Cepaea nemoralis forma Y000(45)
Animalia,Helicidae,Cepaea nemoralis forma Y00000
Animalia,Helicidae,Cepaea nemoralis forma Y00045
Animalia,Helicidae,Cepaea nemoralis forma Y000??
Animalia,Helicidae,Cepaea nemoralis forma Y003(45)
Animalia,Helicidae,Cepaea nemoralis forma Y00300
Animalia,Helicidae,Cepaea nemoralis forma Y00345
Animalia,Helicidae,Cepaea nemoralis forma Y003??
Animalia,Helicidae,Cepaea nemoralis forma Y02345
Animalia,Helicidae,Cepaea nemoralis forma Y1(23)(45)
Animalia,Helicidae,Cepaea nemoralis forma Y1(23)45
Animalia,Helicidae,Cepaea nemoralis forma Y1(2345)
Animalia,Helicidae,Cepaea nemoralis forma Y10345
Animalia,Helicidae,Cepaea nemoralis forma Y12(34)5
Animalia,Helicidae,Cepaea nemoralis forma Y12(345)
Animalia,Helicidae,Cepaea nemoralis forma Y12045
Animalia,Helicidae,Cepaea nemoralis forma Y123(45)
Animalia,Helicidae,Cepaea nemoralis forma Y12300
Animalia,Helicidae,Cepaea nemoralis forma Y12340
Animalia,Helicidae,Cepaea nemoralis forma Y12345
Animalia,Helicidae,Cepaea nemoralis forma Y123??
Animalia,Helicidae,Cepaea nemoralis forma Yxxxxx
Animalia,Helicidae,Cepaea nemoralis forma aberrant
Animalia,Littorinidae,Littorina saxatilis forma tenebrosa
Animalia,Noctuidae,Diachrysia chrysitis tutti
Animalia,Noctuidae,Mythimna sicula f scirpi
Animalia,Pigeons and Doves Columbidae,Columba livia domestica
Animalia,Waxbills Munias Allies Estrildidae,Lonchura striata forma domestica
Animalia,Weasels and Relatives Mustelidae,Mustela putorius furo
Animalia,Whites Pieridae,Colias crocea f. helice
Animalia,Desmidiaceae,Actinotaenium diplosporum var. diplosporum f. diplosporum
Animalia,Desmidiaceae,Actinotaenium diplosporum var. diplosporum f. maius
Animalia,Desmidiaceae,Cosmarium subbroomei f. isthmochondrum
Animalia,Desmidiaceae,Staurastrum borgeanum f. borgeanum
Animalia,Desmidiaceae,Staurastrum borgeanum f. minor
Animalia,Desmidiaceae,Xanthidium antilopaeum var. laeve f. laeve
Animalia,Desmidiaceae,Xanthidium cristatum var. uncinatum f. polonicum
Animalia,Desmidiaceae,Xanthidium cristatum var. uncinatum f. uncinatum
Fungi,Amanitaceae,Amanita excelsa f. excelsa
Fungi,Amanitaceae,Amanita excelsa f. spissa
Fungi,Amanitaceae,Amanita rubescens f. annulosulfurea
Fungi,Amanitaceae,Amanita rubescens f. rubescens
Fungi,Agaricaceae,Leucoagaricus sericifer f. sericatellus
Fungi,Agaricaceae,Leucoagaricus sericifer f. sericifer
Fungi,Bolbitiaceae,Conocybe siliginea f. rickenii
Fungi,Boletaceae,Xerocomus badius f. badius
Fungi,Cantharellaceae,Cantharellus cibarius f. neglectus
Fungi,Coprinaceae,Psathyrella prona f. prona
Fungi,Cortinariaceae,Cortinarius uliginosus f. luteus
Fungi,Cortinariaceae,Cortinarius uliginosus f. uliginosus
Fungi,Cortinariaceae,Inocybe whitei f. armeniaca
Fungi,Dermateaceae,Pezicula cinnamomea teleomorf
Fungi,Entolomataceae,Entoloma clypeatum f. clypeatum
Fungi,Entolomataceae,Entoloma clypeatum f. pallidogriseum
Fungi,Entolomataceae,Entoloma pleopodium f. icterinum
Fungi,Entolomataceae,Entoloma rhodopolium var. nidorosum
Fungi,Entolomataceae,Entoloma rhodopolium var. rhodopolium
Fungi,Entolomataceae,Entoloma sericatum f. saliciphilum
Fungi,Fomitopsidaceae,Postia ptychogaster anamorf
Fungi,Fomitopsidaceae,Postia ptychogaster teleomorf
Fungi,Hygrophoropsidaceae,Hygrophoropsis aurantiaca f. albida
Fungi,Hygrophoropsidaceae,Hygrophoropsis aurantiaca f. aurantiaca
Fungi,Hymenochaetaceae,Phylloporia ribis f. evonymi
Fungi,Hymenochaetaceae,Phylloporia ribis f. ribis
Fungi,Hyphodermataceae,Hypochnicium bombycinum f. pinicola
Fungi,Inocybaceae,Simocybe haustellaris f. tetraspora
Fungi,Inocybaceae,Simocybe sumptuosa f. sumptuosa
Fungi,Mycenaceae,Mycena pura f. alba
Fungi,Mycenaceae,Mycena pura f. ianthina
Fungi,Mycenaceae,Mycena pura f. lutea
Fungi,Mycenaceae,Mycena pura f. pura
Fungi,Marasmiaceae,Xerula radicata f. alba
Fungi,Marasmiaceae,Xerula radicata f. marginata
Fungi,Marasmiaceae,Xerula radicata f. radicata
Fungi,Nectriaceae,Dialonectria episphaeria teleomorf
Fungi,Nectriaceae,Neonectria coccinea teleomorf
Fungi,Nectriaceae,Neonectria punicea anamorf
Fungi,Nectriaceae,Neonectria punicea teleomorf
Fungi,Omphalotaceae,Rhodocollybia butyracea f. asema
Fungi,Omphalotaceae,Rhodocollybia butyracea f. butyracea
Fungi,Pezizaceae,Peziza proteana f. proteana
Fungi,Pezizaceae,Peziza proteana f. sparassoides
Fungi,Polyporaceae,Polyporus ciliatus f. ciliatus
Fungi,Polyporaceae,Polyporus ciliatus f. lepideus
Fungi,Polyporaceae,Polyporus squamosus f. rostkovii
Fungi,Polyporaceae,Polyporus squamosus f. squamosus
Fungi,Psathyrellaceae,Psathyrella olympiana f. amstelodamensis
Fungi,Psathyrellaceae,Psathyrella olympiana f. olympiana
Fungi,Psathyrellaceae,Psathyrella spadiceogrisea f. spadiceogrisea
Fungi,Psathyrellaceae,Psathyrella spadiceogrisea f. vernalis
Fungi,Pyronemataceae,Scutellinia trechisperma f. macropilifera
Fungi,Pluteaceae,Pluteus nanus f. griseopus
Fungi,Pluteaceae,Pluteus nanus f. nanus
Fungi,Pluteaceae,Pluteus podospileus f. minutissimus
Fungi,Pluteaceae,Pluteus podospileus f. podospileus
Fungi,Pluteaceae,Volvariella murinella f. murinella
Fungi,Russulaceae,Russula cyanoxantha f. cutefracta
Fungi,Russulaceae,Russula cyanoxantha f. cyanoxantha
Fungi,Russulaceae,Russula cyanoxantha f. peltereaui
Fungi,Suillaceae,Suillus cavipes f. aureus
Fungi,Suillaceae,Suillus cavipes f. cavipes
Fungi,Strophariaceae,Galerina atkinsoniana f. atkinsoniana
Fungi,Strophariaceae,Galerina atkinsoniana f. quadrispora
Fungi,Strophariaceae,Galerina vittiformis f. tetraspora
Fungi,Strophariaceae,Galerina vittiformis f. vittiformis
Fungi,Strophariaceae,Stropharia pseudocyanea f. pseudocyanea
Fungi,Tapinellaceae,Tapinella panuoides f. ionipus
Fungi,Tapinellaceae,Tapinella panuoides f. panuoides
Fungi,Thelephoraceae,Thelephora terrestris f. terrestris
Fungi,Tricholomataceae,Hygrocybe conica f. conica
Fungi,Tricholomataceae,Hygrocybe conica f. pseudoconica
Fungi,Tricholomataceae,Melanoleuca grammopodia f. grammopodia
Fungi,Tricholomataceae,Melanoleuca grammopodia f. macrocarpa
Fungi,Tricholomataceae,Melanoleuca polioleuca f. langei
Fungi,Tricholomataceae,Melanoleuca polioleuca f. polioleuca
Fungi,Tricholomataceae,Melanoleuca polioleuca f. pusilla
Fungi,Tricholomataceae,Mycena olivaceomarginata f. olivaceomarginata
Fungi,Tricholomataceae,Mycena olivaceomarginata f. roseofusca
Fungi,Tricholomataceae,Mycena polygramma f. polygramma
Plantae,Asparagaceae,Muscari botryoides (cultivar)
Plantae,Asteraceae,Lactuca serriola f. integrifolia
Plantae,Asteraceae,Lactuca serriola f. serriola
Plantae,Asteraceae,Tripolium pannonicum f. discoideus
Plantae,Oxalidaceae,Oxalis pes-caprae f. pleniflora
Plantae,Primulaceae,Anagallis arvensis subsp. arvensis f. arvensis
Plantae,Primulaceae,Anagallis arvensis subsp. arvensis f. azurea
Plantae,Primulaceae,Anagallis arvensis subsp. arvensis f. carnea
Plantae,Primulaceae,Anagallis arvensis subsp. arvensis f. pallida
Plantae,Poaceae,Poa annua f. purpurea
Plantae,Ranunculaceae,Aquilegia vulgaris (cultivar)
Animalia,Buntings Emberizidae,Emberiza citrinella x Emberiza leucocephalos
Animalia,Bombinatoridae,Bombina bombina x B. variegata
Animalia,Caracas and Falcons Falconidae,Falco cherrug x Falco rusticolus
Animalia,Carps Cyprinidae,Abramis brama x Rutilus rutilus
Animalia,Carps Cyprinidae,Cyprinus carpio x C. rubrofuscus
Animalia,Carps Cyprinidae,Cyprinus carpio x Carassius auratus
Animalia,Crows and Jays Corvidae,Corvus cornix x Corvus corone
Animalia,Ducks Geese and Swans Anatidae,Aix sponsa x Anas platyrhynchos
Animalia,Ducks Geese and Swans Anatidae,Aix sponsa x Anas platyrhynchos forma domestica
Animalia,Ducks Geese and Swans Anatidae,Aix sponsa x Aythya fuligula
Animalia,Ducks Geese and Swans Anatidae,Aix sponsa x Aythya nyroca
Animalia,Ducks Geese and Swans Anatidae,Alopochen aegyptiaca x Anas platyrhynchos
Animalia,Ducks Geese and Swans Anatidae,Alopochen aegyptiaca x Cairina moschata
Animalia,Ducks Geese and Swans Anatidae,Alopochen aegyptiaca x Tadorna ferruginea
Animalia,Ducks Geese and Swans Anatidae,Anas acuta x Anas crecca
Animalia,Ducks Geese and Swans Anatidae,Anas acuta x Anas platyrhynchos
Animalia,Ducks Geese and Swans Anatidae,Anas acuta x Mareca penelope
Animalia,Ducks Geese and Swans Anatidae,Anas acuta x Mareca sibilatrix
Animalia,Ducks Geese and Swans Anatidae,Anas bahamensis x Aix sponsa
Animalia,Ducks Geese and Swans Anatidae,Anas bahamensis x Anas capensis
Animalia,Ducks Geese and Swans Anatidae,Anas bahamensis x Anas platyrhynchos
Animalia,Ducks Geese and Swans Anatidae,Anas carolinensis x Anas crecca
Animalia,Ducks Geese and Swans Anatidae,Anas crecca x Anas platyrhynchos
Animalia,Ducks Geese and Swans Anatidae,Anas crecca x Mareca penelope
Animalia,Ducks Geese and Swans Anatidae,Anas crecca x Mareca strepera
Animalia,Ducks Geese and Swans Anatidae,Anas platyrhynchos x Anas acuta
Animalia,Ducks Geese and Swans Anatidae,Anas platyrhynchos x Anas poecilorhyncha
Animalia,Ducks Geese and Swans Anatidae,Anas platyrhynchos x Anas superciliosa
Animalia,Ducks Geese and Swans Anatidae,Anas platyrhynchos x Anas zonorhyncha
Animalia,Ducks Geese and Swans Anatidae,Anas platyrhynchos x Aythya nyroca
Animalia,Ducks Geese and Swans Anatidae,Anas platyrhynchos x Cairina moschata
Animalia,Ducks Geese and Swans Anatidae,Anas platyrhynchos x Mareca sibilatrix
Animalia,Ducks Geese and Swans Anatidae,Anas platyrhynchos x Mareca strepera
Animalia,Ducks Geese and Swans Anatidae,Anas platyrhynchos x Netta rufina
Animalia,Ducks Geese and Swans Anatidae,Anatinae x
Animalia,Ducks Geese and Swans Anatidae,Anser albifrons x Anser anser
Animalia,Ducks Geese and Swans Anatidae,Anser albifrons x Anser erythropus
Animalia,Ducks Geese and Swans Anatidae,Anser albifrons x Anser fabalis/serrirostris
Animalia,Ducks Geese and Swans Anatidae,Anser albifrons x Branta canadensis
Animalia,Ducks Geese and Swans Anatidae,Anser albifrons x Branta leucopsis
Animalia,Ducks Geese and Swans Anatidae,Anser albifrons x Branta ruficollis
Animalia,Ducks Geese and Swans Anatidae,Anser anser forma domestica x Anser indicus
Animalia,Ducks Geese and Swans Anatidae,Anser anser forma domestica x Branta canadensis
Animalia,Ducks Geese and Swans Anatidae,Anser anser forma domestica x Branta leucopsis
Animalia,Ducks Geese and Swans Anatidae,Anser anser x Anser caerulescens
Animalia,Ducks Geese and Swans Anatidae,Anser anser x Anser cygnoides
Animalia,Ducks Geese and Swans Anatidae,Anser anser x Anser erythropus
Animalia,Ducks Geese and Swans Anatidae,Anser anser x Anser indicus
Animalia,Ducks Geese and Swans Anatidae,Anser anser x Anser serrirostris
Animalia,Ducks Geese and Swans Anatidae,Anser anser x Branta canadensis
Animalia,Ducks Geese and Swans Anatidae,Anser anser x Branta leucopsis
Animalia,Ducks Geese and Swans Anatidae,Anser caerulescens x Anser canagicus
Animalia,Ducks Geese and Swans Anatidae,Anser caerulescens x Anser indicus
Animalia,Ducks Geese and Swans Anatidae,Anser cygnoides x Anser indicus
Animalia,Ducks Geese and Swans Anatidae,Anser erythropus x Anser canagica
Animalia,Ducks Geese and Swans Anatidae,Anser erythropus x Branta leucopsis
Animalia,Ducks Geese and Swans Anatidae,Anser indicus x Anser canagica
Animalia,Ducks Geese and Swans Anatidae,Anser indicus x Branta canadensis
Animalia,Ducks Geese and Swans Anatidae,Anser indicus x Branta leucopsis
Animalia,Ducks Geese and Swans Anatidae,Anser rossi x Anser erythropus
Animalia,Ducks Geese and Swans Anatidae,Anser rossii x Anser caerulescens
Animalia,Ducks Geese and Swans Anatidae,Anser spec. x Anser caerulescens
Animalia,Ducks Geese and Swans Anatidae,Anserini x
Animalia,Ducks Geese and Swans Anatidae,Aythya collaris x Aythya ferina
Animalia,Ducks Geese and Swans Anatidae,Aythya collaris x Aythya fuligula
Animalia,Ducks Geese and Swans Anatidae,Aythya ferina x Aythya marila
Animalia,Ducks Geese and Swans Anatidae,Aythya ferina x Aythya nyroca
Animalia,Ducks Geese and Swans Anatidae,Aythya ferina x Netta rufina
Animalia,Ducks Geese and Swans Anatidae,Aythya fuligula x Aythya ferina
Animalia,Ducks Geese and Swans Anatidae,Aythya fuligula x Aythya marila
Animalia,Ducks Geese and Swans Anatidae,Aythya fuligula x Aythya nyroca
Animalia,Ducks Geese and Swans Anatidae,Aythya fuligula x Netta rufina
Animalia,Ducks Geese and Swans Anatidae,Aythya nyroca x Aythya fuligula
Animalia,Ducks Geese and Swans Anatidae,Aythya nyroca x Netta rufina
Animalia,Ducks Geese and Swans Anatidae,Branta bernicla bernicla x Branta bernicla hrota
Animalia,Ducks Geese and Swans Anatidae,Branta bernicla bernicla x Branta bernicla nigricans
Animalia,Ducks Geese and Swans Anatidae,Branta canadensis x Anser cygnoides
Animalia,Ducks Geese and Swans Anatidae,Branta canadensis x Branta leucopsis
Animalia,Ducks Geese and Swans Anatidae,Branta canadensis/hutchinsii x Branta leucopsis
Animalia,Ducks Geese and Swans Anatidae,Branta hutchinsii x Branta leucopsis
Animalia,Ducks Geese and Swans Anatidae,Branta leucopsis x Anser caerulescens
Animalia,Ducks Geese and Swans Anatidae,Branta leucopsis x Anser canagica
Animalia,Ducks Geese and Swans Anatidae,Branta leucopsis x Anser rossii
Animalia,Ducks Geese and Swans Anatidae,Branta leucopsis x Branta ruficollis
Animalia,Ducks Geese and Swans Anatidae,Branta leucopsis x Branta sandvicensis
Animalia,Ducks Geese and Swans Anatidae,Cygnus atratus x Cygnus olor
Animalia,Ducks Geese and Swans Anatidae,Cygnus buccinator x Cygnus cygnus
Animalia,Ducks Geese and Swans Anatidae,Cygnus cygnus x Cygnus olor
Animalia,Ducks Geese and Swans Anatidae,Lophodytes cucullatus x Bucephala clangula
Animalia,Ducks Geese and Swans Anatidae,Mareca  americana x Mareca  penelope
Animalia,Ducks Geese and Swans Anatidae,Mareca falcata x Mareca penelope
Animalia,Ducks Geese and Swans Anatidae,Mareca falcata x Mareca strepera
Animalia,Ducks Geese and Swans Anatidae,Mareca penelope x Anas platyrhynchos
Animalia,Ducks Geese and Swans Anatidae,Mareca sibilatrix x
Animalia,Ducks Geese and Swans Anatidae,Mareca strepera x Mareca penelope
Animalia,Ducks Geese and Swans Anatidae,Mergellus albellus x Bucephala clangula
Animalia,Ducks Geese and Swans Anatidae,Netta peposaca x Netta rufina
Animalia,Ducks Geese and Swans Anatidae,Somateria mollissima x Mergus merganser
Animalia,Ducks Geese and Swans Anatidae,Somateria mollissima x Somateria spectabilis
Animalia,Ducks Geese and Swans Anatidae,Spatula clypeata x Mareca penelope
Animalia,Ducks Geese and Swans Anatidae,Spatula clypeata x Mareca strepera
Animalia,Ducks Geese and Swans Anatidae,Spatula clypeata x Spatula cyanoptera
Animalia,Ducks Geese and Swans Anatidae,Spatula clypeata x Spatula discors
Animalia,Ducks Geese and Swans Anatidae,Spatula cyanoptera x Spatula discors
Animalia,Ducks Geese and Swans Anatidae,Spatula hottentota x Spatula versicolor
Animalia,Ducks Geese and Swans Anatidae,Tadorna ferruginea x Tadorna tadorna
Animalia,Ducks Geese and Swans Anatidae,Tadorna tadorna x Aix sponsa
Animalia,Ducks Geese and Swans Anatidae,Tadorna tadorna x Tadorna tadornoides
Animalia,Finches Fringillidae,Carduelis carduelis x Chloris chloris
Animalia,Finches Fringillidae,Carduelis carduelis x Serinus canaria
Animalia,Finches Fringillidae,Haemorhous mexicanus x Serinus canaria
Animalia,Finches Fringillidae,Serinus canaria x Serinus serinus
Animalia,Flamingos Phoenicopteridae,Phoenicopterus chilensis x Phoenicopterus roseus
Animalia,Flamingos Phoenicopteridae,Phoenicopterus roseus x Phoenicopterus ruber
Animalia,Francolins Quails Partridges and Pheasants Phasianidae,Chrysolophus amherstiae x Chrysolophus pictus
Animalia,Francolins Quails Partridges and Pheasants Phasianidae,Chrysolophus pictus x Phasianus colchicus
Animalia,Francolins Quails Partridges and Pheasants Phasianidae,Lyrurus tetrix x Tetrao urogallus
Animalia,Grosbeaks Saltators Allies Cardinalidae,Passerina amoena x Passerina cyanea
Animalia,Gulls Terns and Skimmers Laridae,Chroicocephalus brunnicephalus x Chroicocephalus ridibundus
Animalia,Gulls Terns and Skimmers Laridae,Chroicocephalus ridibundus x Ichthyaetus melanocephalus
Animalia,Gulls Terns and Skimmers Laridae,Larus argentatus x Larus cachinnans
Animalia,Gulls Terns and Skimmers Laridae,Larus argentatus x Larus fuscus
Animalia,Gulls Terns and Skimmers Laridae,Larus argentatus x Larus hyperboreus
Animalia,Gulls Terns and Skimmers Laridae,Larus argentatus x Larus michahellis
Animalia,Gulls Terns and Skimmers Laridae,Larus cachinnans x Larus michahellis
Animalia,Gulls Terns and Skimmers Laridae,Larus fuscus x Larus michahellis
Animalia,Gulls Terns and Skimmers Laridae,Larus glaucescens x Larus occidentalis
Animalia,Gulls Terns and Skimmers Laridae,Sterna dougallii x Sterna hirundo
Animalia,Hawks and Eagles Accipitridae,Buteo buteo x Buteo rufinus cirtensis
Animalia,Hawks and Eagles Accipitridae,Circus cyaneus x Circus macrourus
Animalia,Hawks and Eagles Accipitridae,Circus pygargus x Circus macrourus
Animalia,Hawks and Eagles Accipitridae,Clanga clanga x Clanga pomarina
Animalia,Hawks and Eagles Accipitridae,Milvus milvus x Milvus migrans
Animalia,Herons Ardeidae,Ardea alba x Ardea cinerea
Animalia,Herons Ardeidae,Bubulcus ibis x Egretta garzetta
Animalia,Herons Ardeidae,Egretta garzetta x Egretta gularis
Animalia,Horses Asses and Zebras Equidae,Equus asinus x E. caballus
Animalia,Leaf Warblers and Allies Phylloscopidae,Phylloscopus collybita x Phylloscopus trochilus
Animalia,Monarchs Monarchidae,Terpsiphone rufiventer x Terpsiphone viridis
Animalia,New World Warblers Parulidae,Vermivora chrysoptera x Vermivora cyanoptera
Animalia,Old World Flycatchers Muscicapidae,Ficedula albicollis x Ficedula hypoleuca
Animalia,Old World Flycatchers Muscicapidae,Oenanthe hispanica melanoleuca x Oenanthe pleschanka
Animalia,Old World Flycatchers Muscicapidae,Phoenicurus ochruros x Phoenicurus phoenicurus
Animalia,Old World Monkeys Cercopithecidae,Papio anubis x Papio hamadryas
Animalia,Old World Sparrows Passeridae,Passer domesticus x Passer hispaniolensis
Animalia,Old World Sparrows Passeridae,Passer domesticus x Passer montanus
Animalia,Old World Sparrows Passeridae,Passer italiae x Passer domesticus
Animalia,Pipits En Wagtails Motacillidae,Motacilla alba alba x Motacilla alba yarrellii
Animalia,Pipits En Wagtails Motacillidae,Motacilla flava flava x Motacilla flava feldegg
Animalia,Pipits En Wagtails Motacillidae,Motacilla flava flava x Motacilla flava flavissima
Animalia,Plovers Charadriidae,Vanellus armatus x Vanellus albiceps
Animalia,Psittaculidae,Agapornis fischeri x Agapornis personatus
Animalia,Psittaculidae,Platycercus elegans x Platycercus eximius
Animalia,Rails Rallidae,Fulica americana x Fulica caribaea
Animalia,Rails Rallidae,Fulica atra x Fulica cristata
Animalia,Rails Rallidae,Fulica atra x Gallinula chloropus
Animalia,Ranidae,Pelophylax kl. esculentus
Animalia,Ranidae,Pelophylax kl. grafi
Animalia,Ranidae,Rana kl. hispanica
Animalia,Salmonids Salmonidae,Salmo trutta x Salvelinus fontinalis
Animalia,Sandpipers and Allies Scolopacidae,Calidris minuta x Calidris temminckii
Animalia,Stilts and Avocets Recurvirostridae,Himantopus himantopus x Recurvirostra avosetta
Animalia,Stilts and Avocets Recurvirostridae,Himantopus leucocephalus x Himantopus novaezelandiae
Animalia,Swallows Hirundinidae,Delichon urbicum x Hirundo rustica
Animalia,Swallows Hirundinidae,Hirundo rustica x Petrochelidon pyrrhonota
Animalia,Salamandridae,Lissotriton vulgaris x Lissotriton helveticus
Animalia,Thrushes Turdidae,Turdus eunomus x Turdus naumanni
Animalia,Tits Paridae,Cyanistes caeruleus x Cyanistes cyanus
Animalia,Woodpeckers Picidae,Melanerpes hoffmannii x Melanerpes rubricapillus
Animalia,Woodpeckers Picidae,Picus canus x Picus viridis
Plantae,Adoxaceae,Viburnum x bodnantense
Plantae,Adoxaceae,Viburnum x rhytidophylloides (V. lantana x rhytidophyllum)
Plantae,Amaranthaceae,Amaranthus x ozanonii (A. hybridus x retroflexus)
Plantae,Amaranthaceae,Amaranthus x tamariscinus (A. hybridus x tuberculatus)
Plantae,Amaranthaceae,Atriplex x gustafssoniana (A. longipes x prostrata)
Plantae,Amaranthaceae,Chenopodium album x Chenopodium giganteum
Plantae,Amaranthaceae,Salsola x masclansii
Plantae,Amaryllidaceae,Galanthus x valentinei (G. nivalis x plicatus)
Plantae,Amaryllidaceae,Narcissus x cyclazetta (N. cyclamineus x tazetta)
Plantae,Amaryllidaceae,Narcissus x incomparabilis (N. poeticus x pseudonarcissus)
Plantae,Amaryllidaceae,Narcissus x susannae
Plantae,Amaryllidaceae,Narcissus x tortifolius
Plantae,Anacardiaceae,Rhus x pulvinata (R. glabra x typhina)
Plantae,Aquifoliaceae,Ilex x altaclerensis (I. aquifolium x perado)
Plantae,Aquifoliaceae,Ilex x meserveae (I. aquifolium x rugosa)
Plantae,Araceae,Arum maculatum x Arum italicum
Plantae,Asparagaceae,Hyacinthoides x massartiana (H. non-scripta x hispanica)
Plantae,Asparagaceae,Polygonatum x hybridum (P. multiflorum x odoratum)
Plantae,Aspleniaceae,Asplenium x alternifolium (A. septentrionale x trichomanes subsp. trichomanes)
Plantae,Asteraceae,Arctium x ambiguum (A. lappa x tomentosum)
Plantae,Asteraceae,Carduus x stangii (C. crispus x nutans)
Plantae,Asteraceae,Centaurea x hybrida
Plantae,Asteraceae,Cirsium x erucagineum (C. oleraceum x rivulare)
Plantae,Asteraceae,Cirsium x forsteri (C. dissectum x palustre)
Plantae,Asteraceae,Cirsium x hybridum (C. oleraceum x palustre)
Plantae,Asteraceae,Cirsium x rigens (C. acaule x oleraceum)
Plantae,Asteraceae,Doronicum x willdenowii (?D. pardalianches x plantagineum)
Plantae,Asteraceae,Gaillardia x grandiflora (G. aristata x pulchella)
Plantae,Asteraceae,Helianthus x laetiflorus (H. pauciflorus x tuberosus)
Plantae,Asteraceae,Jacobaea x albescens (J. maritima x vulgaris)
Plantae,Asteraceae,Leucanthemum x superbum (L. lacustre x maximum)
Plantae,Asteraceae,Onopordum x beckianum (O. acanthium x illyricum)
Plantae,Asteraceae,Petasites x lorenzianus
Plantae,Asteraceae,Pilosella x brachiata (P. officinarum x piloselloides subsp. bauhinii)
Plantae,Asteraceae,Pilosella x schultesii (P. lactucella x officinarum)
Plantae,Asteraceae,Pilosella x stoloniflora (H. aurantiacum x pilosella)
Plantae,Asteraceae,Symphyotrichum x versicolor (S. laeve x novi-belgii)
Plantae,Asteraceae,Tragopogon x mirabilis (T. porrifolius x pratensis)
Plantae,Berberidaceae,Berberis x ottawensis (B. thunbergii x vulgaris)
Plantae,Berberidaceae,Berberis x stenophylla (B. darwinii x empetrifolia)
